"","process","genes_nested","id","composite_name","module_size_4","module_category","annotation_level","web_link","symbol","top_matched_pathway_in_kegg_pid_and_biocarta","jaccard_index_10","enrichment_p_value_11","pathway_size","overlap_size_13","top_matched_chaussabel_module","jaccard_index_15","enrichment_p_value_16","module_size_17","overlap_size_18","top_matched_transcription_factor","jaccard_index_20","enrichment_p_value_21","gene_set_size","overlap_size_23","top_matched_gene_ontology_terms_number_of_matched_genes","btm","group","subgroup","SetSize"
"1","B cell development","TNFSF13, LIF, HHEX, CEBPE, CBFA2T3, LTA, SPI1, TLR4, CCR7, LYN, TNF","M9","B cell development (M9)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M9.htm","TNFSF13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PU1_Q6",0.03,1.55e-08,182,5,"protein binding (8), immune response (6), signal transduction (5)","M9","B CELLS","B CELLS",11
"2","B cell development","TNFSF13, LIF, HHEX, CEBPE, CBFA2T3, LTA, SPI1, TLR4, CCR7, LYN, TNF","M9","B cell development (M9)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M9.htm","LIF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PU1_Q6",0.03,1.55e-08,182,5,"protein binding (8), immune response (6), signal transduction (5)","M9","B CELLS","B CELLS",11
"3","B cell development","TNFSF13, LIF, HHEX, CEBPE, CBFA2T3, LTA, SPI1, TLR4, CCR7, LYN, TNF","M9","B cell development (M9)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M9.htm","HHEX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PU1_Q6",0.03,1.55e-08,182,5,"protein binding (8), immune response (6), signal transduction (5)","M9","B CELLS","B CELLS",11
"4","B cell development","TNFSF13, LIF, HHEX, CEBPE, CBFA2T3, LTA, SPI1, TLR4, CCR7, LYN, TNF","M9","B cell development (M9)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M9.htm","CEBPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PU1_Q6",0.03,1.55e-08,182,5,"protein binding (8), immune response (6), signal transduction (5)","M9","B CELLS","B CELLS",11
"5","B cell development","TNFSF13, LIF, HHEX, CEBPE, CBFA2T3, LTA, SPI1, TLR4, CCR7, LYN, TNF","M9","B cell development (M9)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M9.htm","CBFA2T3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PU1_Q6",0.03,1.55e-08,182,5,"protein binding (8), immune response (6), signal transduction (5)","M9","B CELLS","B CELLS",11
"6","B cell development","TNFSF13, LIF, HHEX, CEBPE, CBFA2T3, LTA, SPI1, TLR4, CCR7, LYN, TNF","M9","B cell development (M9)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M9.htm","LTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PU1_Q6",0.03,1.55e-08,182,5,"protein binding (8), immune response (6), signal transduction (5)","M9","B CELLS","B CELLS",11
"7","B cell development","TNFSF13, LIF, HHEX, CEBPE, CBFA2T3, LTA, SPI1, TLR4, CCR7, LYN, TNF","M9","B cell development (M9)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M9.htm","SPI1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PU1_Q6",0.03,1.55e-08,182,5,"protein binding (8), immune response (6), signal transduction (5)","M9","B CELLS","B CELLS",11
"8","B cell development","TNFSF13, LIF, HHEX, CEBPE, CBFA2T3, LTA, SPI1, TLR4, CCR7, LYN, TNF","M9","B cell development (M9)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M9.htm","TLR4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PU1_Q6",0.03,1.55e-08,182,5,"protein binding (8), immune response (6), signal transduction (5)","M9","B CELLS","B CELLS",11
"9","B cell development","TNFSF13, LIF, HHEX, CEBPE, CBFA2T3, LTA, SPI1, TLR4, CCR7, LYN, TNF","M9","B cell development (M9)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M9.htm","CCR7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PU1_Q6",0.03,1.55e-08,182,5,"protein binding (8), immune response (6), signal transduction (5)","M9","B CELLS","B CELLS",11
"10","B cell development","TNFSF13, LIF, HHEX, CEBPE, CBFA2T3, LTA, SPI1, TLR4, CCR7, LYN, TNF","M9","B cell development (M9)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M9.htm","LYN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PU1_Q6",0.03,1.55e-08,182,5,"protein binding (8), immune response (6), signal transduction (5)","M9","B CELLS","B CELLS",11
"11","B cell development","TNFSF13, LIF, HHEX, CEBPE, CBFA2T3, LTA, SPI1, TLR4, CCR7, LYN, TNF","M9","B cell development (M9)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M9.htm","TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PU1_Q6",0.03,1.55e-08,182,5,"protein binding (8), immune response (6), signal transduction (5)","M9","B CELLS","B CELLS",11
"12","B cell development/activation","TCF4, JAM3, NEDD4, GAB2, PIK3CD, SPIB, BCL2, LYN, DUSP6, BTK, BLNK","M58","B cell development/activation (M58)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M58.htm","TCF4","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.05,3.88e-08,75,4,NA,NA,NA,NA,NA,"OCT1_Q6",0.05,4.14e-23,210,11,"protein binding (10), cytoplasm (8), plasma membrane (7)","M58","B CELLS","B CELLS",11
"13","B cell development/activation","TCF4, JAM3, NEDD4, GAB2, PIK3CD, SPIB, BCL2, LYN, DUSP6, BTK, BLNK","M58","B cell development/activation (M58)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M58.htm","JAM3","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.05,3.88e-08,75,4,NA,NA,NA,NA,NA,"OCT1_Q6",0.05,4.14e-23,210,11,"protein binding (10), cytoplasm (8), plasma membrane (7)","M58","B CELLS","B CELLS",11
"14","B cell development/activation","TCF4, JAM3, NEDD4, GAB2, PIK3CD, SPIB, BCL2, LYN, DUSP6, BTK, BLNK","M58","B cell development/activation (M58)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M58.htm","NEDD4","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.05,3.88e-08,75,4,NA,NA,NA,NA,NA,"OCT1_Q6",0.05,4.14e-23,210,11,"protein binding (10), cytoplasm (8), plasma membrane (7)","M58","B CELLS","B CELLS",11
"15","B cell development/activation","TCF4, JAM3, NEDD4, GAB2, PIK3CD, SPIB, BCL2, LYN, DUSP6, BTK, BLNK","M58","B cell development/activation (M58)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M58.htm","GAB2","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.05,3.88e-08,75,4,NA,NA,NA,NA,NA,"OCT1_Q6",0.05,4.14e-23,210,11,"protein binding (10), cytoplasm (8), plasma membrane (7)","M58","B CELLS","B CELLS",11
"16","B cell development/activation","TCF4, JAM3, NEDD4, GAB2, PIK3CD, SPIB, BCL2, LYN, DUSP6, BTK, BLNK","M58","B cell development/activation (M58)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M58.htm","PIK3CD","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.05,3.88e-08,75,4,NA,NA,NA,NA,NA,"OCT1_Q6",0.05,4.14e-23,210,11,"protein binding (10), cytoplasm (8), plasma membrane (7)","M58","B CELLS","B CELLS",11
"17","B cell development/activation","TCF4, JAM3, NEDD4, GAB2, PIK3CD, SPIB, BCL2, LYN, DUSP6, BTK, BLNK","M58","B cell development/activation (M58)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M58.htm","SPIB","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.05,3.88e-08,75,4,NA,NA,NA,NA,NA,"OCT1_Q6",0.05,4.14e-23,210,11,"protein binding (10), cytoplasm (8), plasma membrane (7)","M58","B CELLS","B CELLS",11
"18","B cell development/activation","TCF4, JAM3, NEDD4, GAB2, PIK3CD, SPIB, BCL2, LYN, DUSP6, BTK, BLNK","M58","B cell development/activation (M58)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M58.htm","BCL2","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.05,3.88e-08,75,4,NA,NA,NA,NA,NA,"OCT1_Q6",0.05,4.14e-23,210,11,"protein binding (10), cytoplasm (8), plasma membrane (7)","M58","B CELLS","B CELLS",11
"19","B cell development/activation","TCF4, JAM3, NEDD4, GAB2, PIK3CD, SPIB, BCL2, LYN, DUSP6, BTK, BLNK","M58","B cell development/activation (M58)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M58.htm","LYN","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.05,3.88e-08,75,4,NA,NA,NA,NA,NA,"OCT1_Q6",0.05,4.14e-23,210,11,"protein binding (10), cytoplasm (8), plasma membrane (7)","M58","B CELLS","B CELLS",11
"20","B cell development/activation","TCF4, JAM3, NEDD4, GAB2, PIK3CD, SPIB, BCL2, LYN, DUSP6, BTK, BLNK","M58","B cell development/activation (M58)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M58.htm","DUSP6","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.05,3.88e-08,75,4,NA,NA,NA,NA,NA,"OCT1_Q6",0.05,4.14e-23,210,11,"protein binding (10), cytoplasm (8), plasma membrane (7)","M58","B CELLS","B CELLS",11
"21","B cell development/activation","TCF4, JAM3, NEDD4, GAB2, PIK3CD, SPIB, BCL2, LYN, DUSP6, BTK, BLNK","M58","B cell development/activation (M58)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M58.htm","BTK","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.05,3.88e-08,75,4,NA,NA,NA,NA,NA,"OCT1_Q6",0.05,4.14e-23,210,11,"protein binding (10), cytoplasm (8), plasma membrane (7)","M58","B CELLS","B CELLS",11
"22","B cell development/activation","TCF4, JAM3, NEDD4, GAB2, PIK3CD, SPIB, BCL2, LYN, DUSP6, BTK, BLNK","M58","B cell development/activation (M58)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M58.htm","BLNK","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.05,3.88e-08,75,4,NA,NA,NA,NA,NA,"OCT1_Q6",0.05,4.14e-23,210,11,"protein binding (10), cytoplasm (8), plasma membrane (7)","M58","B CELLS","B CELLS",11
"23","B cell surface signature","SSPN, AVPR1A, KCNE4, TSPAN13, CD37, HEPACAM2, GYPA, SEMA4B, EGF, GPR37, MS4A1, C11orf87, USH2A, PPP1R3A, OR12D3, POPDC3, DCC, SLC12A1, GP5, CDH5, SLITRK6, HLA-DPB1, PCDHA3, TRHDE, FAIM3, CD22, GHR, LY9, TAS2R13, FLRT2, TPTE, TMEM100, GYPE, PLD4, ADAM7, KCNMB3, FCRL3, GPR6, CSPG4, SYT2, ROBO2, NRXN3, FREM2, TRPC1, GPR116, TMEM47, SCN3A, NPY1R, LPPR4, NOX4, PDZK1IP1, CCR9, CD200, GABBR1, EDNRB, GJC1, LHCGR, PCDHB8, NT5E, PDPN, PCDHB4, CLDN8, LRRTM4, HRH4, NMBR, NCAM2, GRM5, TM4SF20, IL5RA, JAM2, JAM3, IL28RA, MC3R, F2RL3, ASTN1, MOGAT2, SLC26A7, SLC24A1, TACR3, CR2, IL13RA2, IMPG2, LRRC19, TMEFF2, ITM2C, PCDH10, BTC, GPR98, AGTR1, CD19, TMEM133, CD72, UGT2A3, OR11A1, TLR10, CSMD1, TRPC7, CCR6, GABRA5, PLP1, CD79B, CLCA4, CD79A, CNR1, EPHA3, SLC30A10, SGCE, BTLA, CHRNB4, PCDHB10, PCDHB16, PCDHB15, PCDHB14, CADM2, GPR85, SLC6A15, GPR87, NLGN1, SLC13A1, CELSR1, OR1E1, GABRB1, CD180, ADAM28, CXADR, TAAR2, HHLA2, SLC17A6, CNTNAP3, SLC6A16, HLA-DOA, HLA-DOB, HLA-DPA1, ABCA8, CD52, OR2J2, CHL1, TMEM156, SLC5A7, P2RX5, OR2W1, LPHN3, LPHN2, HLA-DRA, LRP1B, CXCR5, ABCB4, FCRL1, FCRL2, PCDH20, FCRL5, KCND2, SLC44A5, ITGB6, NLGN4Y, FCGR2B, CHRM2, PTH2R, HEPH, CD24, PCDH9, BAI3, PTPRR, SELE, FAM26F, SCN1A, HTR1E, PTPRK, HLA-DMA","S2","B cell surface signature (S2)",169,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/S2.htm","SSPN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (140), plasma membrane (123), protein binding (93)","S2","B CELLS","B CELLS",169
"24","B cell surface signature","SSPN, AVPR1A, KCNE4, TSPAN13, CD37, HEPACAM2, GYPA, SEMA4B, EGF, GPR37, MS4A1, C11orf87, USH2A, PPP1R3A, OR12D3, POPDC3, DCC, SLC12A1, GP5, CDH5, SLITRK6, HLA-DPB1, PCDHA3, TRHDE, FAIM3, CD22, GHR, LY9, TAS2R13, FLRT2, TPTE, TMEM100, GYPE, PLD4, ADAM7, KCNMB3, FCRL3, GPR6, CSPG4, SYT2, ROBO2, NRXN3, FREM2, TRPC1, GPR116, TMEM47, SCN3A, NPY1R, LPPR4, NOX4, PDZK1IP1, CCR9, CD200, GABBR1, EDNRB, GJC1, LHCGR, PCDHB8, NT5E, PDPN, PCDHB4, CLDN8, LRRTM4, HRH4, NMBR, NCAM2, GRM5, TM4SF20, IL5RA, JAM2, JAM3, IL28RA, MC3R, F2RL3, ASTN1, MOGAT2, SLC26A7, SLC24A1, TACR3, CR2, IL13RA2, IMPG2, LRRC19, TMEFF2, ITM2C, PCDH10, BTC, GPR98, AGTR1, CD19, TMEM133, CD72, UGT2A3, OR11A1, TLR10, CSMD1, TRPC7, CCR6, GABRA5, PLP1, CD79B, CLCA4, CD79A, CNR1, EPHA3, SLC30A10, SGCE, BTLA, CHRNB4, PCDHB10, PCDHB16, PCDHB15, PCDHB14, CADM2, GPR85, SLC6A15, GPR87, NLGN1, SLC13A1, CELSR1, OR1E1, GABRB1, CD180, ADAM28, CXADR, TAAR2, HHLA2, SLC17A6, CNTNAP3, SLC6A16, HLA-DOA, HLA-DOB, HLA-DPA1, ABCA8, CD52, OR2J2, CHL1, TMEM156, SLC5A7, P2RX5, OR2W1, LPHN3, LPHN2, HLA-DRA, LRP1B, CXCR5, ABCB4, FCRL1, FCRL2, PCDH20, FCRL5, KCND2, SLC44A5, ITGB6, NLGN4Y, FCGR2B, CHRM2, PTH2R, HEPH, CD24, PCDH9, BAI3, PTPRR, SELE, FAM26F, SCN1A, HTR1E, PTPRK, HLA-DMA","S2","B cell surface signature (S2)",169,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/S2.htm","AVPR1A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (140), plasma membrane (123), protein binding (93)","S2","B CELLS","B CELLS",169
"25","B cell surface signature","SSPN, AVPR1A, KCNE4, TSPAN13, CD37, HEPACAM2, GYPA, SEMA4B, EGF, GPR37, MS4A1, C11orf87, USH2A, PPP1R3A, OR12D3, POPDC3, DCC, SLC12A1, GP5, CDH5, SLITRK6, HLA-DPB1, PCDHA3, TRHDE, FAIM3, CD22, GHR, LY9, TAS2R13, FLRT2, TPTE, TMEM100, GYPE, PLD4, ADAM7, KCNMB3, FCRL3, GPR6, CSPG4, SYT2, ROBO2, NRXN3, FREM2, TRPC1, GPR116, TMEM47, SCN3A, NPY1R, LPPR4, NOX4, PDZK1IP1, CCR9, CD200, GABBR1, EDNRB, GJC1, LHCGR, PCDHB8, NT5E, PDPN, PCDHB4, CLDN8, LRRTM4, HRH4, NMBR, NCAM2, GRM5, TM4SF20, IL5RA, JAM2, JAM3, IL28RA, MC3R, F2RL3, ASTN1, MOGAT2, SLC26A7, SLC24A1, TACR3, CR2, IL13RA2, IMPG2, LRRC19, TMEFF2, ITM2C, PCDH10, BTC, GPR98, AGTR1, CD19, TMEM133, CD72, UGT2A3, OR11A1, TLR10, CSMD1, TRPC7, CCR6, GABRA5, PLP1, CD79B, CLCA4, CD79A, CNR1, EPHA3, SLC30A10, SGCE, BTLA, CHRNB4, PCDHB10, PCDHB16, PCDHB15, PCDHB14, CADM2, GPR85, SLC6A15, GPR87, NLGN1, SLC13A1, CELSR1, OR1E1, GABRB1, CD180, ADAM28, CXADR, TAAR2, HHLA2, SLC17A6, CNTNAP3, SLC6A16, HLA-DOA, HLA-DOB, HLA-DPA1, ABCA8, CD52, OR2J2, CHL1, TMEM156, SLC5A7, P2RX5, OR2W1, LPHN3, LPHN2, HLA-DRA, LRP1B, CXCR5, ABCB4, FCRL1, FCRL2, PCDH20, FCRL5, KCND2, SLC44A5, ITGB6, NLGN4Y, FCGR2B, CHRM2, PTH2R, HEPH, CD24, PCDH9, BAI3, PTPRR, SELE, FAM26F, SCN1A, HTR1E, PTPRK, HLA-DMA","S2","B cell surface signature (S2)",169,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/S2.htm","KCNE4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (140), plasma membrane (123), protein binding (93)","S2","B CELLS","B CELLS",169
"26","B cell surface signature","SSPN, AVPR1A, KCNE4, TSPAN13, CD37, HEPACAM2, GYPA, SEMA4B, EGF, GPR37, MS4A1, C11orf87, USH2A, PPP1R3A, OR12D3, POPDC3, DCC, SLC12A1, GP5, CDH5, SLITRK6, HLA-DPB1, PCDHA3, TRHDE, FAIM3, CD22, GHR, LY9, TAS2R13, FLRT2, TPTE, TMEM100, GYPE, PLD4, ADAM7, KCNMB3, FCRL3, GPR6, CSPG4, SYT2, ROBO2, NRXN3, FREM2, TRPC1, GPR116, TMEM47, SCN3A, NPY1R, LPPR4, NOX4, PDZK1IP1, CCR9, CD200, GABBR1, EDNRB, GJC1, LHCGR, PCDHB8, NT5E, PDPN, PCDHB4, CLDN8, LRRTM4, HRH4, NMBR, NCAM2, GRM5, TM4SF20, IL5RA, JAM2, JAM3, IL28RA, MC3R, F2RL3, ASTN1, MOGAT2, SLC26A7, SLC24A1, TACR3, CR2, IL13RA2, IMPG2, LRRC19, TMEFF2, ITM2C, PCDH10, BTC, GPR98, AGTR1, CD19, TMEM133, CD72, UGT2A3, OR11A1, TLR10, CSMD1, TRPC7, CCR6, GABRA5, PLP1, CD79B, CLCA4, CD79A, CNR1, EPHA3, SLC30A10, SGCE, BTLA, CHRNB4, PCDHB10, PCDHB16, PCDHB15, PCDHB14, CADM2, GPR85, SLC6A15, GPR87, NLGN1, SLC13A1, CELSR1, OR1E1, GABRB1, CD180, ADAM28, CXADR, TAAR2, HHLA2, SLC17A6, CNTNAP3, SLC6A16, HLA-DOA, HLA-DOB, HLA-DPA1, ABCA8, CD52, OR2J2, CHL1, TMEM156, SLC5A7, P2RX5, OR2W1, LPHN3, LPHN2, HLA-DRA, LRP1B, CXCR5, ABCB4, FCRL1, FCRL2, PCDH20, FCRL5, KCND2, SLC44A5, ITGB6, NLGN4Y, FCGR2B, CHRM2, PTH2R, HEPH, CD24, PCDH9, BAI3, PTPRR, SELE, FAM26F, SCN1A, HTR1E, PTPRK, HLA-DMA","S2","B cell surface signature (S2)",169,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/S2.htm","TSPAN13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (140), plasma membrane (123), protein binding (93)","S2","B CELLS","B CELLS",169
"27","B cell surface signature","SSPN, AVPR1A, KCNE4, TSPAN13, CD37, HEPACAM2, GYPA, SEMA4B, EGF, GPR37, MS4A1, C11orf87, USH2A, PPP1R3A, OR12D3, POPDC3, DCC, SLC12A1, GP5, CDH5, SLITRK6, HLA-DPB1, PCDHA3, TRHDE, FAIM3, CD22, GHR, LY9, TAS2R13, FLRT2, TPTE, TMEM100, GYPE, PLD4, ADAM7, KCNMB3, FCRL3, GPR6, CSPG4, SYT2, ROBO2, NRXN3, FREM2, TRPC1, GPR116, TMEM47, SCN3A, NPY1R, LPPR4, NOX4, PDZK1IP1, CCR9, CD200, GABBR1, EDNRB, GJC1, LHCGR, PCDHB8, NT5E, PDPN, PCDHB4, CLDN8, LRRTM4, HRH4, NMBR, NCAM2, GRM5, TM4SF20, IL5RA, JAM2, JAM3, IL28RA, MC3R, F2RL3, ASTN1, MOGAT2, SLC26A7, SLC24A1, TACR3, CR2, IL13RA2, IMPG2, LRRC19, TMEFF2, ITM2C, PCDH10, BTC, GPR98, AGTR1, CD19, TMEM133, CD72, UGT2A3, OR11A1, TLR10, CSMD1, TRPC7, CCR6, GABRA5, PLP1, CD79B, CLCA4, CD79A, CNR1, EPHA3, SLC30A10, SGCE, BTLA, CHRNB4, PCDHB10, PCDHB16, PCDHB15, PCDHB14, CADM2, GPR85, SLC6A15, GPR87, NLGN1, SLC13A1, CELSR1, OR1E1, GABRB1, CD180, ADAM28, CXADR, TAAR2, HHLA2, SLC17A6, CNTNAP3, SLC6A16, HLA-DOA, HLA-DOB, HLA-DPA1, ABCA8, CD52, OR2J2, CHL1, TMEM156, SLC5A7, P2RX5, OR2W1, LPHN3, LPHN2, HLA-DRA, LRP1B, CXCR5, ABCB4, FCRL1, FCRL2, PCDH20, FCRL5, KCND2, SLC44A5, ITGB6, NLGN4Y, FCGR2B, CHRM2, PTH2R, HEPH, CD24, PCDH9, BAI3, PTPRR, SELE, FAM26F, SCN1A, HTR1E, PTPRK, HLA-DMA","S2","B cell surface signature (S2)",169,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/S2.htm","CD37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (140), plasma membrane (123), protein binding (93)","S2","B CELLS","B CELLS",169
"28","B cell surface signature","SSPN, AVPR1A, KCNE4, TSPAN13, CD37, HEPACAM2, GYPA, SEMA4B, EGF, GPR37, MS4A1, C11orf87, USH2A, PPP1R3A, OR12D3, POPDC3, DCC, SLC12A1, GP5, CDH5, SLITRK6, HLA-DPB1, PCDHA3, TRHDE, FAIM3, CD22, GHR, LY9, TAS2R13, FLRT2, TPTE, TMEM100, GYPE, PLD4, ADAM7, KCNMB3, FCRL3, GPR6, CSPG4, SYT2, ROBO2, NRXN3, FREM2, TRPC1, GPR116, TMEM47, SCN3A, NPY1R, LPPR4, NOX4, PDZK1IP1, CCR9, CD200, GABBR1, EDNRB, GJC1, LHCGR, PCDHB8, NT5E, PDPN, PCDHB4, CLDN8, LRRTM4, HRH4, NMBR, NCAM2, GRM5, TM4SF20, IL5RA, JAM2, JAM3, IL28RA, MC3R, F2RL3, ASTN1, MOGAT2, SLC26A7, SLC24A1, TACR3, CR2, IL13RA2, IMPG2, LRRC19, TMEFF2, ITM2C, PCDH10, BTC, GPR98, AGTR1, CD19, TMEM133, CD72, UGT2A3, OR11A1, TLR10, CSMD1, TRPC7, CCR6, GABRA5, PLP1, CD79B, CLCA4, CD79A, CNR1, EPHA3, SLC30A10, SGCE, BTLA, CHRNB4, PCDHB10, PCDHB16, PCDHB15, PCDHB14, CADM2, GPR85, SLC6A15, GPR87, NLGN1, SLC13A1, CELSR1, OR1E1, GABRB1, CD180, ADAM28, CXADR, TAAR2, HHLA2, SLC17A6, CNTNAP3, SLC6A16, HLA-DOA, HLA-DOB, HLA-DPA1, ABCA8, CD52, OR2J2, CHL1, TMEM156, SLC5A7, P2RX5, OR2W1, LPHN3, LPHN2, HLA-DRA, LRP1B, CXCR5, ABCB4, FCRL1, FCRL2, PCDH20, FCRL5, KCND2, SLC44A5, ITGB6, NLGN4Y, FCGR2B, CHRM2, PTH2R, HEPH, CD24, PCDH9, BAI3, PTPRR, SELE, FAM26F, SCN1A, HTR1E, PTPRK, HLA-DMA","S2","B cell surface signature (S2)",169,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/S2.htm","HEPACAM2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (140), plasma membrane (123), protein binding (93)","S2","B CELLS","B CELLS",169
"29","B cell surface signature","SSPN, AVPR1A, KCNE4, TSPAN13, CD37, HEPACAM2, GYPA, SEMA4B, EGF, GPR37, MS4A1, C11orf87, USH2A, PPP1R3A, OR12D3, POPDC3, DCC, SLC12A1, GP5, CDH5, SLITRK6, HLA-DPB1, PCDHA3, TRHDE, FAIM3, CD22, GHR, LY9, TAS2R13, FLRT2, TPTE, TMEM100, GYPE, PLD4, ADAM7, KCNMB3, FCRL3, GPR6, CSPG4, SYT2, ROBO2, NRXN3, FREM2, TRPC1, GPR116, TMEM47, SCN3A, NPY1R, LPPR4, NOX4, PDZK1IP1, CCR9, CD200, GABBR1, EDNRB, GJC1, LHCGR, PCDHB8, NT5E, PDPN, PCDHB4, CLDN8, LRRTM4, HRH4, NMBR, NCAM2, GRM5, TM4SF20, IL5RA, JAM2, JAM3, IL28RA, MC3R, F2RL3, ASTN1, MOGAT2, SLC26A7, SLC24A1, TACR3, CR2, IL13RA2, IMPG2, LRRC19, TMEFF2, ITM2C, PCDH10, BTC, GPR98, AGTR1, CD19, TMEM133, CD72, UGT2A3, OR11A1, TLR10, CSMD1, TRPC7, CCR6, GABRA5, PLP1, CD79B, CLCA4, CD79A, CNR1, EPHA3, SLC30A10, SGCE, BTLA, CHRNB4, PCDHB10, PCDHB16, PCDHB15, PCDHB14, CADM2, GPR85, SLC6A15, GPR87, NLGN1, SLC13A1, CELSR1, OR1E1, GABRB1, CD180, ADAM28, CXADR, TAAR2, HHLA2, SLC17A6, CNTNAP3, SLC6A16, HLA-DOA, HLA-DOB, HLA-DPA1, ABCA8, CD52, OR2J2, CHL1, TMEM156, SLC5A7, P2RX5, OR2W1, LPHN3, LPHN2, HLA-DRA, LRP1B, CXCR5, ABCB4, FCRL1, FCRL2, PCDH20, FCRL5, KCND2, SLC44A5, ITGB6, NLGN4Y, FCGR2B, CHRM2, PTH2R, HEPH, CD24, PCDH9, BAI3, PTPRR, SELE, FAM26F, SCN1A, HTR1E, PTPRK, HLA-DMA","S2","B cell surface signature (S2)",169,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/S2.htm","GYPA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (140), plasma membrane (123), protein binding (93)","S2","B CELLS","B CELLS",169
